"Source:","/home/dwd/shitgit/mimu/pcb/mimu3000.sch"
"Date:","Mi 12 Feb 2020 14:38:59 CET"
"Tool:","Eeschema 5.1.5-1.fc31"
"Component Count:","18"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"BT1","4.5V","custom:BatteryHolder_Generic_3xAAA","~","",""
"C1","47µ","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","",""
"C2","0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"C3","0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"C4","1000uF","Capacitor_Tantalum_SMD:CP_EIA-7343-15_Kemet-W","~","",""
"D1","LED","LED_THT:LED_D3.0mm","~","",""
"INPUT1","XLR3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","",""
"ISP1","AVR-ISP-6","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical"," ~","",""
"J1","OPT","Connector_PinHeader_1.27mm:PinHeader_1x05_P1.27mm_Vertical","~","",""
"OUTPUT1","XLR3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","",""
"R1","110R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","",""
"R2","165R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"RV1","1K_POT","custom:Potentiometer_Generic_5mm_Single_Horizontal","~","",""
"SENS1","Sens","Connector_PinHeader_2.00mm:PinHeader_1x04_P2.00mm_Horizontal","~","",""
"SW1","ONOFF","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","","",""
"SW2","SW_DPDT_x2","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm","","",""
"U1","AQY211EH","Package_DIP:DIP-4_W7.62mm","doc/semi_eng_ge1a_aqy21_e.pdf","",""
"U2","ATTINY88AU","Package_QFP:TQFP-32_7x7mm_P0.8mm","../doc/ATtiny4888","",""
